Material(Class),Material(Family),Serial num,Cause P/No Desc.,Operation Hour,유형별,귀책별,Vendor Name,Region Name,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Decision
전동,DIV-B20/35S7,FBA31-001829,"VALVE,MAIN CONTROL;4SEC",3,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-Korea(CS02),9.0,27.0,57.0,61.0,97.0,116.0,132.0,143.0,174.0,196.0,209.0,234.0,250.0,261.0,291.0,0
전동,DIV-BC20/32S7,FBA1B-001060,"VALVE ASSY;MCV-ISO-3S, B25X",42,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,12.0,38.0,55.0,80.0,92.0,106.0,128.0,158.0,164.0,194.0,217.0,226.0,241.0,267.0,296.0,0
엔진7톤,DIV-D60/90S(C)9,FDB21-000284,"VALVE ASSY,CONTROL;4SPOOL",201,작동불량,부품,발보일플루이드파워코리아,Incheon-Korea(CS02),14.0,35.0,55.0,66.0,82.0,105.0,123.0,154.0,177.0,189.0,214.0,236.0,245.0,268.0,284.0,0
엔진1톤,DIV-G15/20SC5,FGA01-003962,"VALVE,CONTROL;SECTION,TILT","1,420",손상,기타,파카코리아(주),Incheon-DIVEU,20.0,23.0,49.0,67.0,91.0,118.0,121.0,150.0,168.0,188.0,209.0,239.0,254.0,269.0,293.0,1
리치트럭,DIV-BR13/25S9,FRA0V-000570,"VALVE,MAIN CONTROL;3WAY",266,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),8.0,26.0,42.0,64.0,82.0,108.0,134.0,159.0,175.0,192.0,216.0,224.0,241.0,279.0,286.0,0
전동,DIV-B15/20T7P,FBA11-006492,VALVE ASSY;3SPOOL,43,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,8.0,29.0,55.0,64.0,99.0,118.0,134.0,156.0,179.0,198.0,212.0,236.0,244.0,275.0,300.0,0
엔진2톤,DIV-D20/35S(C)7,FDA0V-001872,"VALVE ASSY,CONTROL;3S",90,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,3.0,24.0,46.0,65.0,93.0,117.0,137.0,153.0,164.0,190.0,213.0,224.0,260.0,278.0,285.0,0
엔진2톤,DIV-G20/35E7,FGA1M-001577,"VALVE ASSY,CONTROL;3S",75,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,13.0,28.0,45.0,65.0,96.0,102.0,127.0,146.0,168.0,195.0,214.0,227.0,256.0,279.0,299.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-000792,"VALVE,MAIN CONTROL;4SEC","1,136",작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),19.0,27.0,56.0,77.0,91.0,104.0,132.0,151.0,175.0,183.0,214.0,236.0,248.0,272.0,281.0,1
엔진2톤,DIV-D20/35SE9,FDA2G-000051,"VALVE,MAIN CONTROL;3SEC",338,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),12.0,22.0,49.0,62.0,83.0,116.0,131.0,150.0,174.0,189.0,218.0,225.0,257.0,279.0,289.0,0
리치트럭,DIV-BR13/25S9,FRA0T-000587,"VALVE,MAIN CONTROL;3WAY",521,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),8.0,26.0,58.0,80.0,90.0,107.0,125.0,147.0,167.0,196.0,211.0,231.0,243.0,268.0,284.0,0
엔진2톤,DIV-G20/35E7,FGA1M-002674,"VALVE ASSY,CONTROL;3S",14,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,7.0,29.0,48.0,73.0,90.0,103.0,129.0,147.0,180.0,193.0,215.0,224.0,253.0,264.0,283.0,0
엔진7톤,DIV-D50/90S7,FDB0U-000105,"VALVE ASSY,RELIEF",514,작동불량,부품,WALVOIL S.P.A,Incheon-DIVAC,4.0,24.0,58.0,76.0,83.0,101.0,127.0,153.0,163.0,196.0,203.0,237.0,244.0,280.0,286.0,0
전동,DIV-B15/18S7,FBA29-000238,"VALVE,MAIN CONTROL",299,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),16.0,31.0,42.0,69.0,100.0,114.0,130.0,141.0,168.0,198.0,217.0,229.0,250.0,272.0,288.0,0
엔진2톤,DIV-D20/35S(C)7,FDA0W-004284,"VALVE ASSY,CONTROL;3S",16,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,10.0,29.0,54.0,75.0,100.0,106.0,134.0,143.0,167.0,193.0,207.0,237.0,257.0,277.0,290.0,0
엔진2톤,DIV-D20/35S(C)7,FDA24-000488,"VALVE ASSY,CONTROL;4S,D25S","1,814",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,16.0,39.0,59.0,70.0,85.0,104.0,123.0,143.0,164.0,194.0,218.0,237.0,243.0,278.0,283.0,0
엔진2톤,DIV-G20/35E7,FGA1M-001345,VALVE GP-SECTION-AUX 2,172,간섭,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,16.0,33.0,46.0,63.0,91.0,112.0,123.0,144.0,173.0,185.0,205.0,237.0,243.0,262.0,297.0,0
전동,DIV-B15/20T7P,FBA11-007011,"VALVE ASSY,RELIEF",5,작동불량,부품,파카코리아(주),Incheon-DIVEU,14.0,33.0,54.0,65.0,99.0,114.0,122.0,149.0,180.0,188.0,217.0,235.0,248.0,264.0,289.0,1
엔진2톤,DIV-D20/35SE9,FDA2H-001373,"VALVE,MAIN CONTROL;4SEC",130,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),4.0,21.0,47.0,75.0,99.0,106.0,140.0,144.0,163.0,197.0,203.0,224.0,259.0,265.0,285.0,1
엔진2톤,DIV-G20/35N7,FGA15-003058,"VALVE ASSY,CONTROL;3S",183,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,10.0,32.0,52.0,80.0,91.0,113.0,125.0,152.0,173.0,195.0,220.0,223.0,253.0,262.0,283.0,0
엔진2톤,DIV-G20/35E7,FGA1M-002544,VALVE GP-SECTION-AUX 2,10,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,18.0,21.0,49.0,73.0,87.0,116.0,131.0,144.0,164.0,194.0,213.0,240.0,259.0,274.0,296.0,0
엔진2톤,DIV-G20/35E7,FGA1M-002512,"VALVE ASSY,CONTROL;4S,D25S",11,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,12.0,34.0,47.0,61.0,81.0,109.0,127.0,143.0,163.0,182.0,204.0,224.0,245.0,265.0,290.0,0
엔진2톤,DIV-D20/33SE7,FDA0P-001884,"VALVE,MAIN CONTROL;4SEC","1,347",Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),5.0,33.0,56.0,76.0,81.0,118.0,139.0,141.0,166.0,198.0,203.0,228.0,248.0,272.0,288.0,1
엔진1톤,DIV-GC15/20S(C)9,FGA1K-000016,"VALVE ASSY;MCV-3S, D15S","1,045",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,11.0,25.0,59.0,79.0,96.0,114.0,123.0,159.0,164.0,189.0,213.0,240.0,258.0,266.0,283.0,1
전동,DIV-B20/35S7,FBA34-000190,"VALVE,MAIN CONTROL;3SEC","2,933",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-Korea(CS02),20.0,34.0,44.0,80.0,82.0,105.0,127.0,155.0,168.0,184.0,202.0,227.0,242.0,263.0,284.0,1
엔진1톤,DIV-G15/20SC5,FGA02-003340,"VALVE,CONTROL;SECTION,AUX",76,간섭,기타,파카코리아(주),Incheon-DIVAC,5.0,23.0,48.0,67.0,99.0,116.0,124.0,152.0,180.0,197.0,201.0,223.0,253.0,276.0,285.0,0
