00:01 - Deadhead Count: 8376  Mandays: 8753, Active Legs: 8471, Excluded Legs: 8847, DH Excluded Legs: 8376, newMandays: 185
04:00 - Deadhead Count: 3682  Mandays: 6220, Active Legs: 5471, Excluded Legs: 11847, DH Excluded Legs: 3662, newMandays: 2325
08:00 - Deadhead Count: 1957  Mandays: 5932, Active Legs: 4997, Excluded Legs: 12321, DH Excluded Legs: 1914, newMandays: 3737
12:00 - Deadhead Count: 1447  Mandays: 6753, Active Legs: 5569, Excluded Legs: 11749, DH Excluded Legs: 1414, newMandays: 5081
16:00 - Deadhead Count: 1171  Mandays: 7428, Active Legs: 6081, Excluded Legs: 11237, DH Excluded Legs: 1140, newMandays: 6122
20:00 - Deadhead Count: 1064  Mandays: 8153, Active Legs: 6717, Excluded Legs: 10601, DH Excluded Legs: 1034, newMandays: 6951
24:00 - Deadhead Count: 1027  Mandays: 8773, Active Legs: 7280, Excluded Legs: 10038, DH Excluded Legs: 1007, newMandays: 7614
28:00 - Deadhead Count: 1068  Mandays: 9355, Active Legs: 7877, Excluded Legs: 9441, DH Excluded Legs: 1043, newMandays: 8144
32:00 - Deadhead Count: 1059  Mandays: 9963, Active Legs: 8441, Excluded Legs: 8877, DH Excluded Legs: 1040, newMandays: 8791
36:00 - Deadhead Count: 1081  Mandays: 10480, Active Legs: 8962, Excluded Legs: 8356, DH Excluded Legs: 1058, newMandays: 9280
40:00 - Deadhead Count: 1092  Mandays: 10849, Active Legs: 9403, Excluded Legs: 7915, DH Excluded Legs: 1069, newMandays: 9641
44:00 - Deadhead Count: 1101  Mandays: 11241, Active Legs: 9808, Excluded Legs: 7510, DH Excluded Legs: 1082, newMandays: 10035
48:00 - Deadhead Count: 1098  Mandays: 11566, Active Legs: 10173, Excluded Legs: 7145, DH Excluded Legs: 1073, newMandays: 10366
52:00 - Deadhead Count: 1124  Mandays: 11797, Active Legs: 10500, Excluded Legs: 6818, DH Excluded Legs: 1100, newMandays: 10576
56:00 - Deadhead Count: 1137  Mandays: 12111, Active Legs: 10854, Excluded Legs: 6464, DH Excluded Legs: 1114, newMandays: 10869
60:00 - Deadhead Count: 1138  Mandays: 12276, Active Legs: 11088, Excluded Legs: 6230, DH Excluded Legs: 1110, newMandays: 11028
64:00 - Deadhead Count: 1166  Mandays: 12594, Active Legs: 11421, Excluded Legs: 5897, DH Excluded Legs: 1139, newMandays: 11320
68:00 - Deadhead Count: 1166  Mandays: 12729, Active Legs: 11657, Excluded Legs: 5661, DH Excluded Legs: 1141, newMandays: 11453
72:00 - Deadhead Count: 1182  Mandays: 12851, Active Legs: 11881, Excluded Legs: 5437, DH Excluded Legs: 1160, newMandays: 11563
76:00 - Deadhead Count: 1162  Mandays: 12946, Active Legs: 12062, Excluded Legs: 5256, DH Excluded Legs: 1139, newMandays: 11683
80:00 - Deadhead Count: 1147  Mandays: 13102, Active Legs: 12279, Excluded Legs: 5039, DH Excluded Legs: 1124, newMandays: 11860
84:00 - Deadhead Count: 1175  Mandays: 13256, Active Legs: 12488, Excluded Legs: 4830, DH Excluded Legs: 1152, newMandays: 11974
88:00 - Deadhead Count: 1199  Mandays: 13352, Active Legs: 12684, Excluded Legs: 4634, DH Excluded Legs: 1180, newMandays: 12052
92:00 - Deadhead Count: 1206  Mandays: 13447, Active Legs: 12859, Excluded Legs: 4459, DH Excluded Legs: 1185, newMandays: 12133
96:00 - Deadhead Count: 1223  Mandays: 13484, Active Legs: 13031, Excluded Legs: 4287, DH Excluded Legs: 1207, newMandays: 12152
100:00 - Deadhead Count: 1217  Mandays: 13495, Active Legs: 13152, Excluded Legs: 4166, DH Excluded Legs: 1201, newMandays: 12167
104:00 - Deadhead Count: 1231  Mandays: 13561, Active Legs: 13291, Excluded Legs: 4027, DH Excluded Legs: 1212, newMandays: 12212
108:00 - Deadhead Count: 1230  Mandays: 13601, Active Legs: 13423, Excluded Legs: 3895, DH Excluded Legs: 1211, newMandays: 12257
112:00 - Deadhead Count: 1197  Mandays: 13588, Active Legs: 13512, Excluded Legs: 3806, DH Excluded Legs: 1178, newMandays: 12276
116:00 - Deadhead Count: 1233  Mandays: 13678, Active Legs: 13658, Excluded Legs: 3660, DH Excluded Legs: 1216, newMandays: 12335
120:00 - Deadhead Count: 1225  Mandays: 13737, Active Legs: 13782, Excluded Legs: 3536, DH Excluded Legs: 1207, newMandays: 12403
124:00 - Deadhead Count: 1228  Mandays: 13773, Active Legs: 13906, Excluded Legs: 3412, DH Excluded Legs: 1210, newMandays: 12440
128:00 - Deadhead Count: 1216  Mandays: 13821, Active Legs: 14005, Excluded Legs: 3313, DH Excluded Legs: 1194, newMandays: 12494
132:00 - Deadhead Count: 1247  Mandays: 13900, Active Legs: 14160, Excluded Legs: 3158, DH Excluded Legs: 1225, newMandays: 12539
136:00 - Deadhead Count: 1229  Mandays: 13906, Active Legs: 14222, Excluded Legs: 3096, DH Excluded Legs: 1210, newMandays: 12577
140:00 - Deadhead Count: 1226  Mandays: 13945, Active Legs: 14314, Excluded Legs: 3004, DH Excluded Legs: 1210, newMandays: 12618
144:00 - Deadhead Count: 1220  Mandays: 13983, Active Legs: 14400, Excluded Legs: 2918, DH Excluded Legs: 1206, newMandays: 12659
148:00 - Deadhead Count: 1221  Mandays: 14064, Active Legs: 14512, Excluded Legs: 2806, DH Excluded Legs: 1202, newMandays: 12749
