00:00 - Deadhead Count: 3023  Mandays: 8600, Active Legs: 12087, Excluded Legs: 3569, DH Excluded Legs: 3014, newMandays: 5497
04:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
08:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
12:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
16:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
20:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
24:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
28:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
32:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
36:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
40:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
44:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
48:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
52:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
56:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
60:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
64:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
68:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
72:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
76:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
80:00 - Deadhead Count: 2840  Mandays: 8521, Active Legs: 11894, Excluded Legs: 3762, DH Excluded Legs: 2825, newMandays: 5389
