00:00 - Deadhead Count: 3023  Mandays: 8600, Active Legs: 12087, Excluded Legs: 3569, DH Excluded Legs: 3014, newMandays: 5497
04:00 - Deadhead Count: 1401  Mandays: 7937, Active Legs: 11176, Excluded Legs: 4480, DH Excluded Legs: 1358, newMandays: 6475
08:00 - Deadhead Count: 968  Mandays: 8174, Active Legs: 11226, Excluded Legs: 4430, DH Excluded Legs: 920, newMandays: 7164
12:00 - Deadhead Count: 928  Mandays: 8585, Active Legs: 11514, Excluded Legs: 4142, DH Excluded Legs: 877, newMandays: 7610
16:00 - Deadhead Count: 957  Mandays: 9024, Active Legs: 11858, Excluded Legs: 3798, DH Excluded Legs: 895, newMandays: 8024
20:00 - Deadhead Count: 972  Mandays: 9329, Active Legs: 12131, Excluded Legs: 3525, DH Excluded Legs: 910, newMandays: 8310
24:00 - Deadhead Count: 1022  Mandays: 9642, Active Legs: 12412, Excluded Legs: 3244, DH Excluded Legs: 952, newMandays: 8570
28:00 - Deadhead Count: 1027  Mandays: 9854, Active Legs: 12616, Excluded Legs: 3040, DH Excluded Legs: 958, newMandays: 8802
32:00 - Deadhead Count: 1048  Mandays: 10085, Active Legs: 12831, Excluded Legs: 2825, DH Excluded Legs: 980, newMandays: 9002
36:00 - Deadhead Count: 1038  Mandays: 10258, Active Legs: 12994, Excluded Legs: 2662, DH Excluded Legs: 972, newMandays: 9180
40:00 - Deadhead Count: 1053  Mandays: 10384, Active Legs: 13134, Excluded Legs: 2522, DH Excluded Legs: 989, newMandays: 9284
44:00 - Deadhead Count: 1054  Mandays: 10486, Active Legs: 13259, Excluded Legs: 2397, DH Excluded Legs: 985, newMandays: 9396
48:00 - Deadhead Count: 1053  Mandays: 10586, Active Legs: 13369, Excluded Legs: 2287, DH Excluded Legs: 990, newMandays: 9491
52:00 - Deadhead Count: 1071  Mandays: 10693, Active Legs: 13495, Excluded Legs: 2161, DH Excluded Legs: 1010, newMandays: 9573
56:00 - Deadhead Count: 1099  Mandays: 10814, Active Legs: 13634, Excluded Legs: 2022, DH Excluded Legs: 1035, newMandays: 9679
60:00 - Deadhead Count: 1090  Mandays: 10850, Active Legs: 13684, Excluded Legs: 1972, DH Excluded Legs: 1026, newMandays: 9720
64:00 - Deadhead Count: 1079  Mandays: 10877, Active Legs: 13739, Excluded Legs: 1917, DH Excluded Legs: 1014, newMandays: 9766
68:00 - Deadhead Count: 1153  Mandays: 10946, Active Legs: 13830, Excluded Legs: 1826, DH Excluded Legs: 1091, newMandays: 9756
72:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
76:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
80:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
84:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
88:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
92:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
96:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
100:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
104:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
108:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
112:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
116:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
120:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
124:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
128:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
132:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
136:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
140:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
144:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
148:00 - Deadhead Count: 1076  Mandays: 10882, Active Legs: 13782, Excluded Legs: 1874, DH Excluded Legs: 1017, newMandays: 9778
